T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2,Appliances,lights
20.1,43.73,19.39,42.53,19.79,44.29,19.6,42.5,17.5,50.9,4.4,91.2725,17.89,39.0,18.5,47.32666667,16.89,42.9,4.5,745.2,93.0,7.0,40.0,3.4,22.31176617,22.31176617,60,0
20.06666667,43.49,19.35666667,42.5,19.79,44.29,19.6,42.5,17.5,50.86333333,4.366666667,92.46,17.79,38.9,18.5,47.4,16.89,42.9,4.53,745.3166667,92.66666667,6.833333333,40.0,3.4,38.99924449,38.99924449,50,0
20.0,43.29,19.29,42.43333333,19.79,44.29,19.53333333,42.5,17.5,50.79,4.53,93.19,17.79,38.9,18.39,47.4,16.89,42.9,4.57,745.4333333,92.33333333,6.666666667,40.0,3.4,44.03095174,44.03095174,50,0
20.0,43.145,19.29,42.45,19.79,44.29,19.5,42.5,17.5,50.79,4.59,93.19,17.79,38.9,18.39,47.4,16.89,42.845,4.6,745.55,92.0,6.5,40.0,3.4,20.65621048,20.65621048,50,0
20.0,43.06,19.26,42.46666667,19.79,44.29,19.5,42.5,17.5,50.73,4.56,93.06,17.79,38.96666667,18.39,47.4,16.89,42.82666667,4.63,745.6666667000001,91.66666667,6.333333333,40.0,3.4,3.190424026,3.190424026,50,0
19.92666667,43.0,19.2,42.4,19.79,44.29,19.46333333,42.46666667,17.39,50.59,4.366666667,92.93333333,17.79,39.0,18.39,47.4,16.89,42.9,4.67,745.7833333,91.33333333,6.166666667,40.0,3.4,16.77437458,16.77437458,50,0
19.89,42.86333333,19.2,42.32666667,19.79,44.29,19.39,42.4,17.39,50.53,4.263333333,93.36666667,17.73,39.0,18.39,47.4,16.89,42.9,4.7,745.9,91.0,6.0,40.0,3.4,36.18629733,36.18629733,60,0
19.89,42.79,19.2,42.32666667,19.79,44.26,19.39,42.43333333,17.39,50.5,4.263333333,93.89333333,17.7,39.0,18.39,47.32666667,16.89,42.9,4.8,745.95,90.5,6.166666667,38.16666667,3.42,16.88076667,16.88076667,60,0
19.89,42.7,19.1,42.36333333,19.79,44.2,19.32333333,42.5,17.39,50.46666667,4.4,94.26333333,17.7,39.0,18.29,47.29,16.89,42.9,4.9,746.0,90.0,6.333333333,36.33333333,3.43,31.52070612,31.52070612,40,0
19.82333333,42.62666667,19.1,42.29,19.79,44.16333333,19.29,42.5,17.39,50.4,4.466666667,94.39666667,17.7,39.0,18.29,47.29,16.89,42.82666667,5.0,746.05,89.5,6.5,34.5,3.45,42.0307277,42.0307277,30,0
19.79,42.59,19.04444444,42.24,19.73,44.09,19.29,42.5,17.39,50.4,4.623333333,94.4,17.625,38.925,18.29,47.29,16.79,42.79,5.1,746.1,89.0,6.666666667,32.66666667,3.47,42.80658324,42.80658324,30,20
19.79,42.72333333,19.0,42.05636364,19.7,44.0,19.29,42.69,17.39,50.32666667,4.69,94.26,17.72454545,39.32727273,18.29,47.48166667,16.79,42.79,5.2,746.15,88.5,6.833333333,30.83333333,3.48,19.56796405,19.56796405,30,10
19.76,42.76,19.0,41.88666667,19.7,44.06,19.29,42.73,17.39,50.29,4.833333333,94.39666667,17.78,39.68944444,18.36272727,47.70545455,16.89,43.19666667,5.3,746.2,88.0,7.0,29.0,3.5,19.02469428,19.02469428,40,0
19.7,42.7,19.0,41.98833333,19.7,44.12666667,19.23,42.79,17.39,50.29,4.966666667,94.59,17.80666667,40.19611111,18.479375,48.3425,16.89,43.79666667,5.33,746.2666667000001,87.33333333,6.833333333,30.83333333,3.4,44.7722713,44.7722713,50,10
19.7,42.7,19.0,42.06428571,19.7,44.2,19.2,43.0,17.39,50.32666667,5.09,94.62666667,17.85666667,40.69222222,18.55882353,48.84176471,16.89,44.19333333,5.37,746.3333332999999,86.66666667,6.666666667,32.66666667,3.3,32.21578815,32.21578815,50,0
19.63333333,42.62666667,18.910625,42.2525,19.73,44.29,19.2,43.13333333,17.39,50.46666667,5.09,94.29333333,17.89,40.93777778,18.6,49.32272727,16.89,44.66,5.4,746.4,86.0,6.5,34.5,3.2,37.05393244,37.05393244,50,0
19.66666667,43.0,18.89,42.410625,19.79,44.29,19.2,43.23,17.39,50.53,5.19,93.63333333,17.84,41.085,18.6,49.664375,16.92666667,45.09666667,5.43,746.4666667,85.33333333,6.333333333,36.33333333,3.1,30.26517233,30.26517233,40,0
19.6,43.0,18.89,42.5,19.79,44.43333333,19.2,43.36333333,17.39,50.66333333,5.2725,92.47,17.84454545,41.27363636,18.6,50.05909091,16.92666667,45.43,5.47,746.5333333,84.66666667,6.166666667,38.16666667,3.0,45.15408057,45.15408057,50,0
18.79,44.36333333,18.1,43.79,19.5,44.0,18.29,43.79,18.5,58.83,5.59,80.09,17.89,42.838125,18.5,51.06666667,17.1,48.79666667,5.02,754.2333332999999,89.83333333,5.166666667,23.33333333,3.4,31.57101142,31.57101142,40,0
18.79,44.23,18.0,43.645,19.5,43.9,18.29,43.79,18.35666667,57.8,5.59,79.89666667,17.89,42.513999999999996,18.5,50.9,17.1,48.46333333,5.0,754.3,90.0,5.0,20.0,3.4,19.50394668,19.50394668,40,0
18.79,44.06,18.0,43.7,19.5,43.9,18.29,43.7,18.29,57.245,5.59,79.49666667,17.79,41.96666667,18.39,50.56,17.1,48.1,5.0,754.45,89.66666667,4.833333333,21.5,3.37,34.48139244,34.48139244,30,0
18.79,43.93333333,18.0,43.45,19.5,43.96666667,18.29,43.7,18.2225,56.4725,5.56,79.4,17.79,41.76666667,18.39,50.2925,17.1,47.8,5.0,754.6,89.33333333,4.666666667,23.0,3.33,34.47067062,34.47067062,180,20
18.79,43.9,18.0,43.36333333,19.42666667,43.76666667,18.23,43.65666667,18.2,55.8,5.5,79.4,17.76,41.43,18.39,50.03,17.1,47.4,5.0,754.75,89.0,4.5,24.5,3.3,27.74503116,27.74503116,350,30
18.79,43.9,18.0,43.36333333,19.39,43.59,18.49666667,43.86333333,18.2,55.73333333,5.466666667,79.06,17.7,41.23,18.29,49.76,17.1,47.06666667,5.0,754.9,88.66666667,4.333333333,26.0,3.27,21.48122039,21.48122039,350,20
18.79,44.0,18.0,43.4,19.39,43.59,18.82333333,44.0,18.26,56.66,5.4,79.12666667,17.7,41.02666667,18.29,49.62666667,17.0,46.72333333,5.0,755.05,88.33333333,4.166666667,27.5,3.23,22.63600314,22.63600314,300,30
18.85666667,44.06,18.06666667,43.46666667,19.39,43.59,19.03,44.0,18.29,56.66666667,5.5,79.15666667,17.7,40.82666667,18.29,49.36333333,17.0,46.42,5.0,755.2,88.0,4.0,29.0,3.2,15.32216294,15.32216294,400,20
18.89,44.23,18.13333333,43.59,19.46333333,43.66333333,19.46,44.06,18.29,56.46666667,5.5,79.09,17.7,40.645,18.29,49.23,17.0,46.15666667,5.0,755.3166667,88.0,4.166666667,30.83333333,3.18,28.9176972,28.9176972,390,30
18.9975,44.3975,18.26,43.66333333,19.5,43.7,19.72666667,43.93333333,18.2,55.79,5.59,78.99333333,17.73,41.66666667,18.26,49.13333333,17.0,45.86333333,5.0,755.4333333,88.0,4.333333333,32.66666667,3.17,45.51851521,45.51851521,290,30
19.1,44.5,18.32333333,43.5,19.5,43.7,20.06666667,43.66333333,18.13333333,55.73,5.59,78.66,17.85666667,42.26666667,18.2,48.93333333,17.0,45.73,5.0,755.55,88.0,4.5,34.5,3.15,7.130204106,7.130204106,60,30
19.13333333,44.5,18.46333333,43.5,19.42666667,43.62666667,20.2,43.25666667,18.1,55.49,5.59,79.46666667,17.79,42.46666667,18.26,49.16333333,17.0,45.46666667,5.0,755.6666667000001,88.0,4.666666667,36.33333333,3.13,20.75238127,20.75238127,70,20
19.2,44.36,18.53333333,43.43,19.46333333,43.66333333,20.16666667,43.02666667,18.03333333,55.15666667,5.59,79.99333333,17.73,42.26666667,18.26,49.22333333,17.0,45.52666667,5.0,755.7833333,88.0,4.833333333,38.16666667,3.12,10.54628753,10.54628753,110,30
19.2,44.06,18.6,43.23,19.39,43.59,20.1,42.76666667,18.0,54.69,5.45,80.39,17.7,41.93,18.26,49.52666667,17.1,46.3,5.0,755.9,88.0,5.0,40.0,3.1,21.43751854,21.43751854,90,20
19.2,44.06,18.6,43.15666667,19.39,43.62666667,20.1,42.7,17.96333333,54.53,5.53,80.93333333,17.7,41.65666667,18.2,49.26666667,17.1,47.1,5.08,756.0333333,86.83333333,5.0,38.16666667,2.98,6.63449876,6.63449876,60,20
19.2,44.09,18.66666667,43.43,19.46333333,43.76,20.1,42.7,17.89,54.53,5.6566666670000005,80.72666667,17.66666667,41.29666667,18.15,48.995,17.1,47.06,5.17,756.1666667000001,85.66666667,5.0,36.33333333,2.87,23.00482229,23.00482229,70,20
19.13333333,41.0,18.5,40.06,19.29,42.5,19.1,41.13333333,17.39,49.62666667,7.833333333,53.36,18.29,36.72333333,18.26,43.93333333,16.89,41.52666667,6.32,757.3166667,68.0,5.666666667,40.0,0.8170000000000001,9.061591141000001,9.061591141000001,30,0
19.2,40.93333333,18.5,40.0,19.29,42.5,19.1,41.0,17.39,49.46666667,7.8666666670000005,53.05666667,18.35666667,36.46333333,18.39,43.63333333,16.89,41.3175,6.33,757.3333332999999,67.0,5.333333333,40.0,0.633,23.86568548,23.86568548,30,0
19.2,40.76,18.63333333,39.9,19.35666667,42.43333333,19.13333333,40.86333333,17.39,49.4,7.726666667000001,51.86333333,18.445,36.145,18.46333333,43.43333333,16.89,41.23,6.35,757.35,66.0,5.0,40.0,0.45,38.53685214,38.53685214,30,0
19.2675,40.745,18.7,39.82666667,19.29,42.29,19.2,40.65666667,17.39,49.26,7.69,52.245,18.63333333,35.86333333,18.53333333,43.13333333,17.0,41.13333333,6.37,757.3666667,65.0,4.666666667,40.0,0.267,1.38935612,1.38935612,40,0
19.29,40.56666667,18.73,39.56,19.29,42.13333333,19.29,40.5,17.39,49.12666667,7.626666667,51.82333333,18.7,35.73,18.66666667,43.0,17.0,41.0,6.38,757.3833333,64.0,4.333333333,40.0,0.0833,26.36553885,26.36553885,80,0
19.39,40.53,18.79,39.5,19.29,42.0,19.29,40.5,17.39,49.09,7.433333332999999,52.09666667,18.82333333,35.93333333,18.76333333,43.32666667,17.0,41.12666667,6.4,757.4,63.0,4.0,40.0,-0.1,44.01595345,44.01595345,70,0
19.39,40.59,18.79,39.62666667,19.29,42.0,19.29,40.36333333,17.39,49.09,7.1566666670000005,52.13333333,18.96333333,36.0,18.89,43.46666667,17.06666667,41.2,6.17,757.3833333,64.33333333,3.833333333,40.0,-0.0667,18.6531686,18.6531686,80,0
19.39,40.62666667,18.79,39.7,19.29,41.93333333,19.29,40.29,17.39,49.0,7.03,52.52666667,18.89,36.12666667,19.0,43.73,17.06666667,41.06,5.93,757.3666667,65.66666667,3.666666667,40.0,-0.0333,2.397956583,2.397956583,70,0
19.39,40.7,18.79,39.7,19.29,42.0,19.2,40.2,17.39,49.0,6.7,52.63,18.89,36.73333333,19.06666667,43.93,17.0,40.93333333,5.7,757.35,67.0,3.5,40.0,0.0,6.931412336,6.931412336,80,0
19.32333333,40.73,18.79,39.76,19.29,42.0,19.13333333,40.12666667,17.39,49.0,6.3666666670000005,53.75666667,18.89,37.46333333,19.05,44.045,17.0,40.76,5.47,757.3333332999999,68.33333333,3.333333333,40.0,0.0333,16.07460602,16.07460602,80,0
19.39,40.86333333,18.7,39.79,19.29,42.0,19.1,40.09,17.29,48.9,5.933333332999999,54.82333333,18.89,37.53,19.1,44.23,17.0,40.7,5.23,757.3166667,69.66666667,3.166666667,40.0,0.0667,7.7415805660000006,7.7415805660000006,100,0
19.35666667,40.79,18.7,39.73,19.29,42.0,19.06666667,40.02666667,17.29,48.9,5.66,55.69666667,18.79,37.19333333,19.1,44.29,17.0,40.56,5.0,757.3,71.0,3.0,40.0,0.1,6.611408608,6.611408608,90,0
19.29,40.73,18.7,39.76,19.29,42.03,19.0,39.9,17.29,48.9,5.33,57.13333333,18.73,36.86,19.13333333,44.32666667,17.0,40.43333333,4.78,757.3,72.0,3.0,40.0,0.0833,11.06529639,11.06529639,100,10
19.29,40.66333333,18.7,39.7,19.29,42.09,19.0,39.93333333,17.29,48.9,5.063333333,57.8,18.66666667,36.43,19.2,44.4,17.0,40.26,4.57,757.3,73.0,3.0,40.0,0.0667,11.31903981,11.31903981,90,0
19.29,40.66333333,18.7,39.7,19.29,42.06,19.0,40.0,17.29,48.79,4.626666667,59.42333333,18.6,36.23,19.29,44.53,17.0,40.12666667,4.35,757.3,74.0,3.0,40.0,0.05,6.570826692000001,6.570826692000001,110,0
19.29,40.79,18.7,39.7,19.29,42.0,18.89,40.0,17.29,48.79,4.366666667,60.69666667,18.5,36.02666667,19.35666667,44.66333333,16.89,40.03,4.13,757.3,75.0,3.0,40.0,0.0333,49.07817302,49.07817302,90,10
19.29,40.73,18.7,39.76,19.29,42.03,18.89,40.0,17.29,48.79,3.9666666669999997,63.02666667,18.42666667,35.82666667,19.42666667,44.73,16.89,40.09,3.92,757.3,76.0,3.0,40.0,0.0167,16.35068634,16.35068634,100,0
19.29,40.79,18.7,39.82666667,19.29,42.09,18.89,40.12666667,17.29,48.73,3.826666667,65.76666667,18.39,35.76,19.56666667,44.73,16.89,40.06,3.7,757.3,77.0,3.0,40.0,0.0,25.34697485,25.34697485,100,10
19.29,40.73,18.7,39.9,19.23,41.93333333,18.82333333,40.06666667,17.29,48.7,3.7233333330000002,67.22666667,18.32333333,35.76,19.63333333,44.7,16.89,40.0,3.53,757.3,79.0,3.0,38.16666667,0.16699999999999998,34.07212574,34.07212574,110,0
19.26,40.7,18.7,39.9,19.23,42.0,18.79,40.09,17.29,48.7,3.42,68.1475,18.29,35.79,19.7,44.7,16.85666667,39.96666667,3.37,757.3,81.0,3.0,36.33333333,0.33299999999999996,4.95845516,4.95845516,100,10
19.26,40.76,18.7,39.96666667,19.2,41.96666667,18.79,40.09,17.29,48.7,3.156666667,69.23,18.23,35.79,19.76,44.79,16.865,39.9975,3.2,757.3,83.0,3.0,34.5,0.5,5.945127911,5.945127911,90,10
19.29,40.9,18.7,40.0,19.2,41.96666667,18.79,40.09,17.23,48.62666667,2.863333333,70.82333333,18.2,35.79,19.76,44.86333333,16.89,40.09,3.03,757.3,85.0,3.0,32.66666667,0.667,2.521982975,2.521982975,90,10
19.29,40.82666667,18.7,40.0,19.2,41.845,18.73,40.09,17.23,48.62666667,2.656666667,71.42333333,18.2,36.06666667,19.79,44.93333333,16.79,39.96666667,2.87,757.3,87.0,3.0,30.83333333,0.833,46.46269599,46.46269599,180,10
19.29,41.15,18.79,40.09,19.2,41.7,18.7,40.09,17.23,48.7,2.4666666669999997,72.96666667,18.2,36.33333333,19.79,45.0,16.79,39.96666667,2.7,757.3,89.0,3.0,29.0,1.0,33.68561164,33.68561164,140,0
19.32333333,42.15666667,18.79,40.09,19.2,41.76,18.7,40.16333333,17.26,48.79,2.4,74.63333333,18.2,36.29,19.79,45.09,16.79,40.0,2.78,757.2333332999999,88.83333333,3.333333333,29.0,1.07,4.742892773,4.742892773,100,10
19.39,42.09666667,18.82333333,40.15666667,19.29,41.79,18.7,40.29,17.26,48.86333333,2.2233333330000002,75.73,18.2,36.49,19.79,45.09,16.79,40.0,2.87,757.1666667000001,88.66666667,3.666666667,29.0,1.13,24.62980604,24.62980604,110,20
19.39,41.73,18.82333333,40.23,19.29,41.86333333,18.7,40.29,17.2,49.29,2.03,76.19666667,18.2,37.0,19.79,45.06,16.79,40.0,2.95,757.1,88.5,4.0,29.0,1.2,23.07759203,23.07759203,340,20
18.7,42.29,18.1,41.59,19.79,43.29,18.29,42.02666667,17.6,63.15666667,3.06,91.39666667,18.1,42.4,19.16666667,50.59,16.7,47.045,3.37,752.2333332999999,89.0,5.166666667,30.0,1.77,20.91608179,20.91608179,40,0
18.7,42.29,18.03333333,41.53,19.79,43.32666667,18.29,41.96666667,17.56666667,63.06,3.06,91.33,18.1,42.46666667,19.1,50.59,16.7,47.12666667,3.4,752.1,89.0,5.0,28.0,1.8,49.05090424,49.05090424,20,0
18.7,42.29,18.1,41.59,19.7225,43.3725,18.29,42.09,17.5,63.0,3.0,91.33,18.05,42.345,19.1,50.53,16.7,47.26,3.38,751.9166667000001,89.16666667,5.166666667,28.16666667,1.8,14.14419779,14.14419779,30,0
18.7,42.29,18.1,41.59,19.7,43.29,18.29,42.09,17.5,62.86333333,3.0,91.06333333,18.1,42.43333333,19.1,50.46666667,16.7,47.32666667,3.37,751.7333332999999,89.33333333,5.333333333,28.33333333,1.8,42.39410748,42.39410748,30,0
18.66666667,42.29,18.0,41.5,19.7,43.29,18.29,42.12666667,17.5,62.79,3.03,91.26333333,18.03333333,42.36,19.1,50.46666667,16.7,47.46666667,3.35,751.55,89.5,5.5,28.5,1.8,4.1119615430000005,4.1119615430000005,40,0
18.6,42.29,18.0,41.56,19.7,43.29,18.23,42.12666667,17.46333333,62.56,3.09,91.26333333,18.0,42.2,19.0,50.4,16.73,47.53,3.33,751.3666667,89.66666667,5.666666667,28.66666667,1.8,44.32293753,44.32293753,50,0
18.6,42.29,18.0,41.59,19.7,43.26,18.2,42.2,17.46333333,62.5,3.09,91.15666667,18.0,42.2,19.0,50.4,16.73,47.66333333,3.32,751.1833333,89.83333333,5.833333333,28.83333333,1.8,23.59653654,23.59653654,40,0
18.6,42.32666667,18.0,41.59,19.7,43.2,18.2,42.2,17.445,62.45,3.09,91.03,18.0,42.32666667,19.03333333,50.43333333,16.7,47.7,3.3,751.0,90.0,6.0,29.0,1.8,5.455048173,5.455048173,40,0
18.6,42.4,17.96333333,41.7,19.7,43.2,18.2,42.2,17.39,62.36333333,3.09,90.9,18.0,42.46666667,19.03333333,50.36,16.7,47.76,3.32,750.8666667,90.0,5.833333333,28.66666667,1.82,16.66389923,16.66389923,50,0
18.6,42.4,17.89,41.7,19.7,43.2,18.2,42.2,17.39,62.29,3.09,90.46666667,18.0,42.5,19.0,50.4,16.73,47.79,3.33,750.7333332999999,90.0,5.666666667,28.33333333,1.83,41.87082846,41.87082846,40,0
18.6,43.29,18.23,42.03,19.16666667,42.33333333,18.63333333,42.06666667,17.46333333,49.5,2.29,94.62333333,17.6,38.86333333,18.29,46.09,16.79,45.645,1.8,748.8333332999999,95.5,5.5,39.16666667,1.17,48.16560082,48.16560082,390,30
18.66666667,43.49,18.29,42.09,19.23,42.56666667,18.7,42.26,17.5,49.32666667,2.29,94.69,17.53333333,38.79,18.29,45.96666667,16.79,46.02666667,1.9,748.7,95.0,6.0,40.0,1.2,7.366144983,7.366144983,420,20
18.7,43.63333333,18.39,42.09,19.29,42.7,18.7,42.29,17.5,49.99333333,2.29,94.83333333,17.5,38.7,18.29,45.82666667,16.79,46.4,1.97,748.7333332999999,94.66666667,5.666666667,40.0,1.22,7.181347138,7.181347138,340,20
18.7,43.43333333,18.39,42.09,19.26,42.52666667,18.7,42.29,17.39,51.19666667,2.29,94.9,17.5,38.6175,18.23,45.73,16.89,46.52666667,2.03,748.7666667000001,94.33333333,5.333333333,40.0,1.23,46.26149676,46.26149676,550,10
18.79,43.76666667,18.5,42.06,19.32,43.145,18.7,42.5,17.32333333,51.86333333,2.4,94.95,17.5,38.59,18.23,45.65666667,16.89,46.4,2.1,748.8,94.0,5.0,40.0,1.25,25.35178013,25.35178013,690,10
21.46333333,41.69333333,20.85666667,38.36333333,21.66666667,43.93,18.7,42.66,17.1,53.0,4.966666667,74.16666667,17.6,38.53,18.2,45.59,17.0,43.46666667,4.6,747.9,76.0,7.0,40.0,0.7,18.93797203,18.93797203,910,0
22.06666667,43.19666667,21.5,39.56,22.6,44.16,18.73,45.46666667,17.1,53.82666667,4.56,74.7,17.63333333,38.43333333,18.5,45.96333333,17.0,43.32666667,4.52,748.0666667,76.0,6.166666667,40.0,0.617,2.607450669,2.607450669,100,0
22.1,42.36333333,21.56666667,39.36,22.53333333,43.76666667,18.745,45.295,17.1,53.9,4.59,74.63333333,17.7,38.5,18.6,45.76,17.0,43.16333333,4.5,748.1,76.0,6.0,40.0,0.6,24.10847866,24.10847866,90,10
22.1,41.89,21.63333333,39.16333333,22.39,43.4,18.79,45.12666667,17.1,53.93333333,4.656666667,73.42666667,17.7,38.43333333,18.6,45.62666667,17.0,42.96333333,4.42,748.1666667000001,76.16666667,6.166666667,40.0,0.55,46.02589203,46.02589203,110,10
22.13333333,41.43,21.7,39.03,22.32333333,43.12666667,18.79,44.96666667,17.1,54.0,4.69,74.13333333,17.7,38.4,18.7,45.66333333,16.92666667,42.76,4.33,748.2333332999999,76.33333333,6.333333333,40.0,0.5,2.076421445,2.076421445,100,0
22.2,41.15666667,21.7,38.9,22.26,42.83333333,18.79,44.82666667,17.1,53.96666667,4.623333333,72.99333333,17.7,38.4,18.76,45.53,16.92666667,42.62666667,4.25,748.3,76.5,6.5,40.0,0.45,14.69958995,14.69958995,110,10
22.1,40.83333333,21.7,38.7225,22.2,42.5,18.79,44.7,17.1,53.9,4.466666667,71.25666667,17.7,38.36333333,18.79,45.45,16.89,42.46666667,4.17,748.3666667,76.66666667,6.666666667,40.0,0.4,25.04252436,25.04252436,100,10
22.16666667,40.5,21.7,38.62666667,22.16666667,42.13333333,18.79,44.62666667,17.1,53.9,4.2975,71.745,17.7,38.43,18.82333333,45.4,16.89,42.32666667,4.08,748.4333333,76.83333333,6.833333333,40.0,0.35,30.48744675,30.48744675,790,10
22.2,40.69333333,21.7,38.59,22.1,42.06,18.79,44.59,17.1,53.82666667,4.19,72.46333333,17.7,38.76666667,18.82333333,45.32666667,16.89,42.16333333,4.0,748.5,77.0,7.0,40.0,0.3,13.21245248,13.21245248,380,10
22.26,41.83333333,21.7,38.7925,22.1,42.23,18.79,44.59,17.1,53.9,4.263333333,72.7,17.76,38.9,18.89,45.29,16.89,42.03,3.9,748.55,78.5,7.166666667,40.0,0.467,21.15493048,21.15493048,360,10
22.32333333,42.56333333,21.7,39.13333333,22.1,42.36333333,18.79,44.73,17.1,53.9,4.19,73.76666667,17.79,38.83333333,18.89,45.23,16.89,41.86333333,3.8,748.6,80.0,7.333333333,40.0,0.633,18.32818082,18.32818082,360,10
22.46333333,47.76333333,21.73,39.63333333,22.0,42.53,18.79,45.06333333,17.1,54.03,3.9666666669999997,74.26,17.73,38.56666667,19.0,45.02666667,16.865,41.74,3.7,748.65,81.5,7.5,40.0,0.8,47.12526612,47.12526612,100,10
22.73,46.86,21.79,40.36,22.06666667,43.12333333,18.89,46.43333333,17.1,54.29666667,3.9,74.92666667,17.76,38.19333333,18.92666667,44.69333333,16.85666667,41.66333333,3.6,748.7,83.0,7.666666667,40.0,0.9670000000000001,6.186178257000001,6.186178257000001,100,10
22.79,45.52666667,21.82333333,41.15666667,22.06666667,43.4,18.89,47.02666667,17.2,54.8,3.933333333,74.96666667,17.7,37.82,18.92666667,44.73,16.89,41.59,3.5,748.75,84.5,7.833333333,40.0,1.13,3.501633962,3.501633962,90,10
22.79,44.83333333,21.89,40.95666667,22.0,43.46666667,18.96333333,47.23,17.2,55.0,4.0,75.22666667,17.7,37.56666667,19.0,44.79,16.96333333,42.86333333,3.4,748.8,86.0,8.0,40.0,1.3,48.2158519,48.2158519,90,20
22.79,41.79,21.79,41.09,21.89,43.09,19.29,46.76666667,19.39,58.69666667,3.895,61.34,19.66666667,42.56666667,19.7,45.79666667,16.89,42.06666667,3.75,749.3,70.0,9.0,40.0,-1.25,3.2474959389999998,3.2474959389999998,120,20
22.79,41.73,21.85666667,41.16333333,21.79,42.96666667,19.23,46.3,19.53333333,55.15666667,3.663333333,62.09333333,19.53333333,41.63333333,19.76,45.39,16.89,41.72333333,3.67,749.3666667,70.0,8.666666667000001,40.0,-1.33,8.105454092999999,8.105454092999999,100,10
22.79,41.56,21.89,41.0,21.79,42.9,19.2,46.12666667,19.6,53.49,3.59,61.7,19.35666667,40.73333333,19.79,44.96666667,16.89,41.46333333,3.58,749.4333333,70.0,8.333333332999999,40.0,-1.42,23.76989602,23.76989602,80,0
22.79,41.5,21.89,40.86,21.79,42.79,19.2,46.12666667,19.7,51.86333333,3.626666667,62.4,19.23,40.13333333,19.79,44.795,16.89,41.13333333,3.5,749.5,70.0,8.0,40.0,-1.5,0.09664173699999999,0.09664173699999999,50,10
22.92666667,41.03333333,22.1,40.43333333,21.73,42.86333333,19.2,45.83333333,19.56666667,52.39,3.7,62.32666667,19.1,39.43,19.73,44.9,16.89,41.46666667,3.15,749.5166667000001,73.66666667,7.833333333,37.16666667,-1.2,22.07295715,22.07295715,50,0
23.06666667,40.42666667,22.175,39.75,21.66666667,43.0,19.13333333,45.62666667,19.26,53.69666667,3.663333333,61.56666667,19.03333333,39.36333333,19.7,45.63333333,17.0,43.39666667,2.8,749.5333333,77.33333333,7.666666667,34.33333333,-0.9,13.04648686,13.04648686,50,0
